e4 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : e4, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
e5 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : e5, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Nf3 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : f3, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Nc6 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : c6, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Bb5 : {Piece : Bishop, moveFrom : <NoSquare>, moveTo : b5, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Nf6 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : f6, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
O-O : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : <NoSquare>, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : Short, captureStatus : NoCapture, promotionStatus : NoPromotion}
Nxe4 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : e4, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
Re1 : {Piece : Rook, moveFrom : <NoSquare>, moveTo : e1, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Nd6 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : d6, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Nxe5 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : e5, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
Be7 : {Piece : Bishop, moveFrom : <NoSquare>, moveTo : e7, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Bf1 : {Piece : Bishop, moveFrom : <NoSquare>, moveTo : f1, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Nxe5 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : e5, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
Rxe5 : {Piece : Rook, moveFrom : <NoSquare>, moveTo : e5, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
O-O : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : <NoSquare>, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : Short, captureStatus : NoCapture, promotionStatus : NoPromotion}
Nc3 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : c3, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Bf6 : {Piece : Bishop, moveFrom : <NoSquare>, moveTo : f6, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Re1 : {Piece : Rook, moveFrom : <NoSquare>, moveTo : e1, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Re8 : {Piece : Rook, moveFrom : <NoSquare>, moveTo : e8, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Nd5 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : d5, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Rxe1 : {Piece : Rook, moveFrom : <NoSquare>, moveTo : e1, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
Nxf6+ : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : f6, checkStatus : check, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
Qxf6 : {Piece : Queen, moveFrom : <NoSquare>, moveTo : f6, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
Qxe1 : {Piece : Queen, moveFrom : <NoSquare>, moveTo : e1, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
b5 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : b5, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
a4 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : a4, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
b4 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : b4, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
a5 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : a5, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Bb7 : {Piece : Bishop, moveFrom : <NoSquare>, moveTo : b7, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
d3 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : d3, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
b3 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : b3, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
cxb3 : {Piece : Pawn, moveFrom : b3, moveTo : c<noRank>, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
Nb5 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : b5, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
d4 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : d4, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Nxd4 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : d4, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
Qc3 : {Piece : Queen, moveFrom : <NoSquare>, moveTo : c3, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
c5 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : c5, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Bd2 : {Piece : Bishop, moveFrom : <NoSquare>, moveTo : d2, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Be3 : {Piece : Bishop, moveFrom : <NoSquare>, moveTo : e3, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Be4 : {Piece : Bishop, moveFrom : <NoSquare>, moveTo : e4, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Rc1 : {Piece : Rook, moveFrom : <NoSquare>, moveTo : c1, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
h6 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : h6, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
b4 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : b4, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Re8 : {Piece : Rook, moveFrom : <NoSquare>, moveTo : e8, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Kh1 : {Piece : Knight, moveFrom : <NoSquare>, moveTo : h1, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Re5 : {Piece : Rook, moveFrom : <NoSquare>, moveTo : e5, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
bxc5 : {Piece : Pawn, moveFrom : c5, moveTo : b<noRank>, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
Nf3 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : f3, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
h3 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : h3, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Nh4 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : h4, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Kh2 : {Piece : Knight, moveFrom : <NoSquare>, moveTo : h2, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Qf5 : {Piece : Queen, moveFrom : <NoSquare>, moveTo : f5, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Rd1 : {Piece : Rook, moveFrom : <NoSquare>, moveTo : d1, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Re6 : {Piece : Rook, moveFrom : <NoSquare>, moveTo : e6, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Rd6 : {Piece : Rook, moveFrom : <NoSquare>, moveTo : d6, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Nf3+ : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : f3, checkStatus : check, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Kh1 : {Piece : Knight, moveFrom : <NoSquare>, moveTo : h1, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Ng5 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : g5, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Rxe6 : {Piece : Rook, moveFrom : <NoSquare>, moveTo : e6, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
fxe6 : {Piece : Pawn, moveFrom : e6, moveTo : f<noRank>, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
Qb4 : {Piece : Queen, moveFrom : <NoSquare>, moveTo : b4, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Nxh3 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : h3, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
